Elow [GeV], Ehigh [GeV], numu [GeV^-1 POT^-1 m^-2], numubar [GeV^-1 POT^-1 m^-2], nue [GeV^-1 POT^-1 m^-2], nuebar [GeV^-1 POT^-1 m^-2], nutau [GeV^-1 POT^-1 m^-2], nutaubar [GeV^-1 POT^-1 m^-2]
1.0,1.1615863496415424,0.0005472954471705092,0.0004811766206071819,1.6408535729232433e-05,1.2051362903455605e-05,2.3436946586417892e-07,1.535944262618733e-07
1.1615863496415424,1.3492828476735632,0.0005472954471705092,0.0004811766206071819,1.6408535729232433e-05,1.2051362903455605e-05,2.3436946586417892e-07,1.535944262618733e-07
1.3492828476735632,1.5673085376630795,0.0005472954471705092,0.0004811766206071819,1.6408535729232433e-05,1.2051362903455605e-05,2.3436946586417895e-07,1.535944262618733e-07
1.5673085376630795,1.8205642030260802,0.0005472954471705092,0.0004811766206071819,1.6408535729232433e-05,1.2051362903455605e-05,2.3436946586417892e-07,1.535944262618733e-07
1.8205642030260802,2.114742526881128,0.0004207411120365165,0.0003662223218110297,1.3030643212884785e-05,9.673665871589794e-06,2.4033646542078086e-07,2.0514924049361234e-07
2.114742526881128,2.4564560522315806,0.00022283386175608538,0.0001864553532708047,7.748252697021324e-06,5.955393549442284e-06,2.496677338709791e-07,2.857713030449989e-07
2.4564560522315806,2.8533858187665557,0.00022283386175608538,0.00018645535327080473,7.748252697021324e-06,5.955393549442285e-06,2.496677338709791e-07,2.857713030449989e-07
2.8533858187665557,3.314454017339987,0.00015930360002709292,0.00013145942339187584,5.964152803319172e-06,4.804901020340488e-06,2.801338501549948e-07,3.3668721703484963e-07
3.314454017339987,3.8500245430567,0.00012968261637506375,0.00010581757184684315,5.132316252568407e-06,4.268483894566962e-06,2.943386764508357e-07,3.6042676122805765e-07
3.8500245430567,4.47213595499958,9.826446900217621e-05,7.908681711967593e-05,4.203063947972923e-06,3.79144281165404e-06,3.1198624021447525e-07,3.9711507339664316e-07
4.47213595499958,5.194772079068654,8.20361417273137e-05,6.539544698556242e-05,3.764463652577123e-06,3.4775261267908716e-06,3.2188031890354403e-07,4.156964353238576e-07
5.194772079068654,6.034176336545162,6.450825910494749e-05,5.0817756299983935e-05,3.362678832659045e-06,3.0307367703596597e-06,3.344240884311146e-07,4.341463980184442e-07
6.034176336545162,7.009216863860871,5.041618884683171e-05,3.934187677844031e-05,3.0517914762924883e-06,2.872197476989498e-06,3.5645025553549695e-07,4.263590194090605e-07
7.009216863860871,8.141810630738087,3.9642232029697306e-05,3.1221140025275525e-05,2.7473069385554405e-06,2.7568246039700107e-06,3.858177208430667e-07,4.060855221325481e-07
8.141810630738087,9.457416090031758,3.1706663371247336e-05,2.3990225215316268e-05,2.362505181596733e-06,2.3446566145941578e-06,3.8186515248159134e-07,3.821888013668347e-07
9.457416090031758,10.985605433061178,2.550790331370467e-05,1.9815930097744976e-05,2.2474439351035516e-06,2.200400765626958e-06,4.1218417172022753e-07,3.518717764266571e-07
10.985605433061178,12.760729313591826,1.95939352624031e-05,1.5077294762059345e-05,1.9481799234790877e-06,1.9811303781336405e-06,4.2145351837950227e-07,2.768148046768903e-07
12.760729313591826,14.822688982138951,1.5129718084598426e-05,1.190254169019491e-05,1.8448674448973992e-06,1.9079657581281987e-06,4.0222034548648e-07,2.523765210731686e-07
14.822688982138951,17.2178331866347,1.1988103176157157e-05,9.125365668401552e-06,1.7830031851220123e-06,1.808846078115911e-06,3.610207871864476e-07,1.9894385993884788e-07
17.2178331866347,20.000000000000004,9.427215661224923e-06,7.211488224516766e-06,1.6627631816993574e-06,1.6809994447437544e-06,3.173306372458511e-07,1.6093758608315808e-07
20.000000000000004,23.231726992830847,7.184957880570392e-06,5.253873937951679e-06,1.5723170741763724e-06,1.478743212096046e-06,2.3091255504218118e-07,1.3497326060557804e-07
23.231726992830847,26.985656953471263,5.588796767871957e-06,3.981530064580679e-06,1.4837479399419235e-06,1.28989823045305e-06,1.711738113291049e-07,1.1099120748889699e-07
26.985656953471263,31.346170753261585,4.272559559449403e-06,3.080330785310539e-06,1.4000200702642477e-06,1.111354857502137e-06,1.242133289051141e-07,9.912863194236216e-08
31.346170753261585,36.411284060521595,3.4714410390430083e-06,2.3212573931951797e-06,1.2467757203271827e-06,9.326877211248485e-07,7.874439406502555e-08,9.204955498995295e-08
36.411284060521595,42.29485053762257,2.6629300335475085e-06,1.6618645361002512e-06,1.1034640986448247e-06,7.442346420037926e-07,5.390912076443221e-08,8.376516383776612e-08
42.29485053762257,49.12912104463162,1.8010264413092611e-06,1.088666716085651e-06,9.484096456329508e-07,5.386756719794591e-07,4.1329779108389485e-08,7.28481223228857e-08
49.12912104463162,57.067716375331116,1.4633707094173943e-06,7.590849334257475e-07,8.15176995740129e-07,4.3168518908735545e-07,3.2080429017795455e-08,6.829520244859653e-08
57.067716375331116,66.28908034679972,1.052729813693335e-06,5.396100257474175e-07,6.689637513708231e-07,3.2353091701911047e-07,2.540644777297843e-08,5.400950713675106e-08
66.28908034679972,77.000490861134,7.746731171046181e-07,3.4630231055083176e-07,5.09533622323046e-07,2.092375784849754e-07,2.0656646451084885e-08,4.662655779561092e-08
77.000490861134,89.4427190999916,4.882187239621673e-07,2.0064971636653714e-07,3.4787335621409187e-07,1.2871816107192334e-07,1.146295075882582e-08,3.1816203995106635e-08
89.4427190999916,103.89544158137303,2.9697903708991785e-07,9.98286817009166e-08,2.2109312197045655e-07,6.76453399322332e-08,7.205644203011082e-09,1.9020834061595484e-08
103.89544158137303,120.68352673090327,1.653669804744596e-07,4.5349061569708935e-08,1.2439718102236685e-07,2.9701588559709423e-08,3.782902740548487e-09,1.120637691261786e-08
120.68352673090327,140.18433727721748,8.304752746198563e-08,2.0301749389979754e-08,5.789832468173488e-08,1.3260942369381445e-08,1.4105019262228894e-09,6.510854867142877e-09
140.18433727721748,162.83621261476173,3.322500132543861e-08,6.9906456021850546e-09,2.790010303809976e-08,4.33656865518602e-09,7.023788754788814e-10,2.176930946669303e-09
162.83621261476173,189.14832180063522,1.1420290867919893e-08,1.7303413821238906e-09,9.226537934058797e-09,7.375716944103001e-10,9.302647932162586e-11,7.049142558187382e-10
189.14832180063522,219.71210866122348,5.3994873548990466e-09,6.194812912932375e-10,2.245008968972462e-09,1.6426513088619427e-10,0.0,2.402568717933862e-10
219.71210866122348,255.21458627183657,1.4367700306271896e-09,0.0,2.578589958379551e-10,2.82828962197919e-11,5.170884637829405e-11,0.0
255.21458627183657,296.45377964277924,4.365541184981462e-10,0.0,2.7748582350068984e-11,0.0,0.0,1.4838553693395712e-11
296.45377964277924,344.35666373269385,6.263763324366248e-11,0.0,0.0,0.0,0.0,0.0
344.35666373269385,400.0,0.0,0.0,0.0,0.0,0.0,0.0
