Elow [GeV], Ehigh [GeV], numu [GeV^-1 POT^-1], numubar [GeV^-1 POT^-1], nue [GeV^-1 POT^-1], nuebar [GeV^-1 POT^-1], nutau [GeV^-1 POT^-1], nutaubar [GeV^-1 POT^-1]
1.0,1.1615863496415424,0.005770140341416671,0.003536437170315272,0.0003043401112112746,0.0002256786541088656,8.238786824809537e-06,8.231150250409522e-06
1.1615863496415424,1.3492828476735632,0.005770140341416671,0.003536437170315272,0.0003043401112112746,0.0002256786541088656,8.238786824809537e-06,8.231150250409522e-06
1.3492828476735632,1.5673085376630795,0.005770140341416671,0.003536437170315272,0.00030434011121127457,0.00022567865410886559,8.238786824809537e-06,8.231150250409522e-06
1.5673085376630795,1.8205642030260802,0.005770140341416671,0.003536437170315272,0.0003043401112112746,0.00022567865410886559,8.238786824809537e-06,8.231150250409522e-06
1.8205642030260802,2.114742526881128,0.0041026077389057815,0.002532802963394439,0.00022322170603766972,0.0001689103815188234,7.1754902195273775e-06,7.511729309409463e-06
2.114742526881128,2.4564560522315806,0.0014948994232128632,0.0009633072525696598,9.636773064406083e-05,8.013544765685798e-05,5.512693704804225e-06,6.386689854405928e-06
2.4564560522315806,2.8533858187665557,0.0014948994232128635,0.0009633072525696599,9.636773064406085e-05,8.0135447656858e-05,5.512693704804225e-06,6.386689854405928e-06
2.8533858187665557,3.314454017339987,0.0008926879529050411,0.0005881822211795957,6.64427892129914e-05,5.8186881123916405e-05,4.592906060998336e-06,5.3328235471690246e-06
3.314454017339987,3.8500245430567,0.0006119068632072486,0.0004132801804848508,5.249028568484803e-05,4.795336228165037e-05,4.164055084801598e-06,4.841458396002918e-06
3.8500245430567,4.47213595499958,0.0003847903975014296,0.00026645835873104207,3.90922584134576e-05,3.811122910169712e-05,3.5140074990855943e-06,4.019252129850362e-06
4.47213595499958,5.194772079068654,0.0002780612884367503,0.00019675563589421934,3.227263964513929e-05,3.292687784616521e-05,3.1605087731328622e-06,3.5308199155972917e-06
5.194772079068654,6.034176336545162,0.00018166298832687498,0.00013244756865418223,2.5092685675791078e-05,2.7139174536908427e-05,2.7438334535559526e-06,2.8892365687553724e-06
6.034176336545162,7.009216863860871,0.0001184640741154989,8.979388119920558e-05,1.9590966789653248e-05,2.2149453044299423e-05,2.3101888651984154e-06,2.2801829406521825e-06
7.009216863860871,8.141810630738087,7.945436809777018e-05,6.222182962534806e-05,1.5326507805733124e-05,1.8082984255256085e-05,1.9103240009301163e-06,1.826688291143647e-06
8.141810630738087,9.457416090031758,5.438149505956401e-05,4.405280792292379e-05,1.2152139501447921e-05,1.4765852014544846e-05,1.6063400308507867e-06,1.4534148786685135e-06
9.457416090031758,10.985605433061178,3.8308414159484926e-05,3.196335146331168e-05,9.879566264337424e-06,1.204622129222137e-05,1.3397005377244393e-06,1.1548065305862827e-06
10.985605433061178,12.760729313591826,2.5242441364841044e-05,2.1700849302478757e-05,7.688513785687431e-06,9.344624509987595e-06,1.0447933110305668e-06,8.705988707339048e-07
12.760729313591826,14.822688982138951,1.7563021662947973e-05,1.5356707774138756e-05,6.072531671311055e-06,7.342232749809532e-06,8.139415480320995e-07,6.749338342578008e-07
14.822688982138951,17.2178331866347,1.2151872112494862e-05,1.0675482030250513e-05,4.798002044234758e-06,5.596011403442231e-06,6.244714384386374e-07,5.09865148340872e-07
17.2178331866347,20.000000000000004,8.358544496274666e-06,7.40761094014387e-06,3.7613186271353993e-06,4.200062612840547e-06,4.63388735423182e-07,3.9473240907375226e-07
20.000000000000004,23.231726992830847,5.785382247089129e-06,5.068898691864184e-06,2.8862711657107315e-06,3.063832636330364e-06,3.3270301691909183e-07,3.0294194146936233e-07
23.231726992830847,26.985656953471263,4.016327545318406e-06,3.4384564101901177e-06,2.2016120233906587e-06,2.218904196396449e-06,2.3353482270256242e-07,2.2973368921210716e-07
26.985656953471263,31.346170753261585,2.7565729750161295e-06,2.281097168098402e-06,1.6540480161273275e-06,1.5449448240646822e-06,1.6516482249536266e-07,1.697337671995395e-07
31.346170753261585,36.411284060521595,1.8878756723821944e-06,1.495591194076292e-06,1.2133528185806475e-06,1.0551576639720482e-06,1.088748250326719e-07,1.2697954709821335e-07
36.411284060521595,42.29485053762257,1.2840780074831532e-06,9.518703372699967e-07,8.690754453919865e-07,6.953594800586259e-07,7.160628646567386e-08,9.499556170731781e-08
42.29485053762257,49.12912104463162,8.526876998613394e-07,5.865354152266663e-07,6.100094855841448e-07,4.410635141643151e-07,4.7590662656397314e-08,6.644643693097142e-08
49.12912104463162,57.067716375331116,5.599947833611523e-07,3.4336897250278834e-07,4.1001760244011816e-07,2.6527379667691675e-07,2.8258826309470925e-08,4.636645070807395e-08
57.067716375331116,66.28908034679972,3.4823308914059193e-07,1.9846229285374782e-07,2.629906281862716e-07,1.5250487952721463e-07,1.8126006957441278e-08,3.043936256388544e-08
66.28908034679972,77.000490861134,2.0822843082726733e-07,1.0444885366213131e-07,1.63956190952155e-07,8.269881981514574e-08,1.0150797887936778e-08,1.9350753660745193e-08
77.000490861134,89.4427190999916,1.1863389889215829e-07,5.263032927160031e-08,9.355365370406443e-08,4.1488350132412564e-08,4.759965346679941e-09,1.1101224225382214e-08
89.4427190999916,103.89544158137303,6.42840114833514e-08,2.4228978580057497e-08,4.993741038700738e-08,1.8866049256843823e-08,2.5542579554777774e-09,5.5415631093683935e-09
103.89544158137303,120.68352673090327,3.253885719918082e-08,1.0324776547454504e-08,2.5000540857707477e-08,7.402894037874678e-09,1.0720129168249287e-09,2.7941062787765523e-09
120.68352673090327,140.18433727721748,1.52493495213808e-08,3.783427607602319e-09,1.0660867334663807e-08,2.6512919188935054e-09,3.4314994289742063e-10,1.3317148851167027e-09
140.18433727721748,162.83621261476173,5.763753826660916e-09,1.2218296499806012e-09,4.4796234951885304e-09,7.39483983042621e-10,1.1590131309746567e-10,4.5767548424725273e-10
162.83621261476173,189.14832180063522,2.354870097324388e-09,2.791282737048639e-10,1.470715965775046e-09,2.0214762354529118e-10,3.720902771738398e-11,9.662164497109699e-11
189.14832180063522,219.71210866122348,8.051382907124476e-10,7.339634483321172e-11,3.66295479982133e-10,2.8829647452365482e-11,0.0,3.796441157850804e-11
219.71210866122348,255.21458627183657,2.9677680220911884e-10,7.939148431776311e-13,4.13653383886928e-11,8.27306767773856e-12,2.7576892259128533e-12,5.5153784518257065e-12
255.21458627183657,296.45377964277924,5.626067365407746e-11,0.0,4.748143307234723e-12,0.0,0.0,2.3740716536173613e-12
296.45377964277924,344.35666373269385,1.159763155298131e-11,0.0,0.0,0.0,0.0,0.0
344.35666373269385,400.0,0.0,0.0,0.0,0.0,0.0,0.0
